0.0                                     	0.00000000000e+00	0	0.0000000000
1.0                                     	1.00000000000e+00	1	1.0000000000
-1.0                                    	-1.00000000000e+00	-1	-1.0000000000
0.333333333333333     1/3               	3.33333343267e-01	0.33333334327	0.33333334327
-0.333333333333333    -1/3              	-3.33333343267e-01	-0.33333334327	-0.33333334327
3.1415926535897932385 pi                	3.14159274101e+00	3.141592741	3.1415927410
-3.1415926535897932385 negative pi      	-3.14159274101e+00	-3.141592741	-3.1415927410
6.2831853071795864769 tau               	6.28318548203e+00	6.283185482	6.2831854820
-6.2831853071795864769 negative tau     	-6.28318548203e+00	-6.283185482	-6.2831854820
6.62607015e-34        Planck constant   	6.62607017858e-34	6.6260701786e-34	6.6260701786e-34
6.02214076e23         Avogadro constant 	6.02214064355e+23	6.0221406435e+23	6.0221406435e+23
